time,U_R1,U_R2,U_Rb1,U_Rb2,U_Id1,I_E1,I_E2,I_L1,I_Cb1,I_C1,I_R1,I_R2,I_Rb1,I _Rb2, I_Id1, U_E1, U_E2, U_L1, U_Cb1, U_C1 
2.62144e-07,0.443219,0.000590287,0.0188883,0.537302,0.537302,-0.000944415,-0.000501195,0.000501195,4.52452e-08,0.000943824,0.000443219,5.90287e-07,0.000944415,5.37302e-07,0.000943832,1,0.32936,0.77258,0.537302,0.000590287
5.24288e-07,0.432549,0.000898494,0.0235323,0.543021,0.543021,-0.00117661,-0.000744066,0.000744066,4.36301e-08,0.00117572,0.000432549,8.98494e-07,0.00117661,5.43021e-07,0.00117603,1,0.493929,0.926477,0.543021,0.000898494
7.86432e-07,0.421327,0.00127786,0.0289685,0.548427,0.548427,-0.00144843,-0.0010271,0.0010271,4.12456e-08,0.00144715,0.000421327,1.27786e-06,0.00144843,5.48427e-07,0.00144784,1,0.658363,1.07969,0.548427,0.00127786
1.04858e-06,0.409578,0.00173869,0.0351938,0.55349,0.55349,-0.00175969,-0.00135011,0.00135011,3.86276e-08,0.00175795,0.000409578,1.73869e-06,0.00175969,5.5349e-07,0.0017591,1,0.822619,1.2322,0.55349,0.00173869
1.31072e-06,0.397291,0.00229127,0.0422039,0.558214,0.558214,-0.0021102,-0.00171291,0.00171291,3.60423e-08,0.0021079,0.000397291,2.29127e-06,0.0021102,5.58214e-07,0.0021096,1,0.986652,1.38394,0.558214,0.00229127
1.57286e-06,0.384441,0.00294578,0.049994,0.562619,0.562619,-0.0024997,-0.00211526,0.00211526,3.36094e-08,0.00249675,0.000384441,2.94578e-06,0.0024997,5.62619e-07,0.0024991,1,1.15042,1.53486,0.562619,0.00294578
1.83501e-06,0.370998,0.00371234,0.0585587,0.566731,0.566731,-0.00292793,-0.00255694,0.00255694,3.13734e-08,0.00292422,0.000370998,3.71234e-06,0.00292793,5.66731e-07,0.00292734,1,1.31387,1.68487,0.566731,0.00371234
2.09715e-06,0.35693,0.00460101,0.0678922,0.570577,0.570577,-0.00339461,-0.00303768,0.00303768,2.9342e-08,0.00339001,0.00035693,4.60101e-06,0.00339461,5.70577e-07,0.00339401,1,1.47697,1.8339,0.570577,0.00460101
2.3593e-06,0.342207,0.00562175,0.0779885,0.574182,0.574182,-0.00389942,-0.00355722,0.00355722,2.75056e-08,0.0038938,0.000342207,5.62175e-06,0.00389942,5.74182e-07,0.00389882,1,1.63966,1.98187,0.574182,0.00562175
2.62144e-06,0.326804,0.00678443,0.088841,0.57757,0.57757,-0.00444205,-0.00411525,0.00411525,2.5848e-08,0.00443527,0.000326804,6.78443e-06,0.00444205,5.7757e-07,0.00444145,1,1.80191,2.12872,0.57757,0.00678443
2.88358e-06,0.310696,0.00809883,0.100443,0.580762,0.580762,-0.00502216,-0.00471146,0.00471146,2.43509e-08,0.00501406,0.000310696,8.09883e-06,0.00502216,5.80762e-07,0.00502155,1,1.96368,2.27437,0.580762,0.00809883
3.14573e-06,0.293861,0.00957466,0.112788,0.583776,0.583776,-0.00563939,-0.00534552,0.00534552,2.29961e-08,0.00562981,0.000293861,9.57466e-06,0.00563939,5.83776e-07,0.00563878,1,2.1249,2.41877,0.583776,0.00957466
3.40787e-06,0.276282,0.0112215,0.125868,0.586629,0.586629,-0.00629338,-0.0060171,0.0060171,2.17672e-08,0.00628216,0.000276282,1.12215e-05,0.00629338,5.86629e-07,0.00629277,1,2.28556,2.56184,0.586629,0.0112215
3.67002e-06,0.25794,0.0130488,0.139675,0.589336,0.589336,-0.00698375,-0.00672581,0.00672581,2.06492e-08,0.0069707,0.00025794,1.30488e-05,0.00698375,5.89336e-07,0.00698314,1,2.44559,2.70353,0.589336,0.0130488
3.93216e-06,0.238823,0.015066,0.154202,0.591909,0.591909,-0.00771011,-0.00747129,0.00747129,1.96291e-08,0.00769505,0.000238823,1.5066e-05,0.00771011,5.91909e-07,0.0077095,1,2.60496,2.84378,0.591909,0.015066
4.1943e-06,0.218917,0.0172824,0.169441,0.594359,0.594359,-0.00847206,-0.00825315,0.00825315,1.86954e-08,0.00845478,0.000218917,1.72824e-05,0.00847206,5.94359e-07,0.00847145,1,2.76362,2.98254,0.594359,0.0172824
4.45645e-06,0.198212,0.0197071,0.185384,0.596697,0.596697,-0.00926918,-0.00907097,0.00907097,1.78383e-08,0.00924947,0.000198212,1.97071e-05,0.00926918,5.96697e-07,0.00926857,1,2.92154,3.11975,0.596697,0.0197071
4.71859e-06,0.176698,0.0223492,0.202021,0.598932,0.598932,-0.010101,-0.00992434,0.00992434,1.70491e-08,0.0100787,0.000176698,2.23492e-05,0.010101,5.98932e-07,0.0101004,1,3.07866,3.25535,0.598932,0.0223492
4.98074e-06,0.154368,0.0252175,0.219344,0.601071,0.601071,-0.0109672,-0.0108128,0.0108128,1.63204e-08,0.010942,0.000154368,2.52175e-05,0.0109672,6.01071e-07,0.0109666,1,3.23494,3.38931,0.601071,0.0252175
